min_id,dep_id,start_date,end_date,active
2610/11_min_32,2610/11_dep_318,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_319,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_320,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_321,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_322,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_323,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_324,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_325,2015-09-21,-1,TRUE
2610/11_min_32,2610/11_dep_326,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_327,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_328,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_329,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_330,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_331,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_332,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_333,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_334,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_335,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_336,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_337,2015-09-21,-1,TRUE
2610/11_min_33,2610/11_dep_338,2015-09-21,-1,TRUE
2610/11_min_34,2610/11_dep_339,2015-09-21,-1,TRUE
2610/11_min_34,2610/11_dep_340,2015-09-21,-1,TRUE
2610/11_min_34,2610/11_dep_341,2015-09-21,-1,TRUE
2610/11_min_34,2610/11_dep_342,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_343,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_344,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_345,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_346,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_347,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_348,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_349,2015-09-21,-1,TRUE
2610/11_min_35,2610/11_dep_350,2015-09-21,-1,TRUE
2610/11_min_36,2610/11_dep_351,2015-09-21,-1,TRUE
2610/11_min_36,2610/11_dep_352,2015-09-21,-1,TRUE
2610/11_min_36,2610/11_dep_353,2015-09-21,-1,TRUE
2610/11_min_36,2610/11_dep_354,2015-09-21,-1,TRUE
2610/11_min_37,2610/11_dep_355,2015-09-21,-1,TRUE
2610/11_min_37,2610/11_dep_356,2015-09-21,-1,TRUE
2610/11_min_37,2610/11_dep_357,2015-09-21,-1,TRUE
2610/11_min_37,2610/11_dep_358,2015-09-21,-1,TRUE
2610/11_min_37,2610/11_dep_359,2015-09-21,-1,TRUE
2610/11_min_38,2610/11_dep_360,2015-09-21,-1,TRUE
2610/11_min_38,2610/11_dep_361,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_362,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_363,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_364,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_365,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_366,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_367,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_368,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_369,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_370,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_371,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_372,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_373,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_374,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_375,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_376,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_377,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_378,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_379,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_380,2015-09-21,-1,TRUE
2610/11_min_39,2610/11_dep_381,2015-09-21,-1,TRUE
2610/11_min_40,2610/11_dep_382,2015-09-21,-1,TRUE
2610/11_min_40,2610/11_dep_383,2015-09-21,-1,TRUE
